bank_transaction_id,utr,settlement_id,transaction_id,account_id,amount,currency,bank_status,initiated_at,credited_at,bank_response_code,bank_response_message
BTX_70001,ICICI356787,SET_70001,TXN_10001,ACC_120,9873.66,INR,credited,2026-08-01T12:52:00,2026-08-01T14:47:00,00,SUCCESS
BTX_70002,KOTAK191161,SET_70002,TXN_10002,ACC_107,10025.15,INR,credited,2026-08-01T15:11:00,2026-08-01T17:06:00,00,SUCCESS
BTX_70003,AXIS329258,SET_70003,TXN_10003,ACC_118,11541.61,INR,credited,2026-08-01T18:06:00,2026-08-01T20:01:00,00,SUCCESS
BTX_70004,KOTAK308496,SET_70004,TXN_10004,ACC_107,11989.65,INR,credited,2026-08-01T21:06:00,2026-08-01T23:01:00,00,SUCCESS
BTX_70005,HDFC571029,SET_70005,TXN_10005,ACC_120,13042.05,INR,credited,2026-08-02T00:31:00,2026-08-02T02:26:00,00,SUCCESS
BTX_70006,AXIS895667,SET_70006,TXN_10006,ACC_118,10769.74,INR,credited,2026-08-02T04:00:00,2026-08-02T05:55:00,00,SUCCESS
BTX_70007,ICICI263032,SET_70007,TXN_10007,ACC_105,13024.95,INR,credited,2026-08-02T06:26:00,2026-08-02T08:21:00,00,SUCCESS
BTX_70008,AXIS197251,SET_70008,TXN_10008,ACC_106,14416.23,INR,credited,2026-08-02T09:26:00,2026-08-02T11:21:00,00,SUCCESS
BTX_70009,ICICI733052,SET_70009,TXN_10009,ACC_112,9795.18,INR,credited,2026-08-02T12:59:00,2026-08-02T14:54:00,00,SUCCESS
BTX_70010,SBI662275,SET_70010,TXN_10010,ACC_108,13610.25,INR,credited,2026-08-02T15:51:00,2026-08-02T17:46:00,00,SUCCESS
BTX_70011,AXIS678856,SET_70011,TXN_10011,ACC_103,14501.63,INR,credited,2026-08-02T18:29:00,2026-08-02T20:24:00,00,SUCCESS
BTX_70012,ICICI705397,SET_70012,TXN_10012,ACC_109,13729.88,INR,credited,2026-08-02T21:44:00,2026-08-02T23:39:00,00,SUCCESS
BTX_70013,HDFC910620,SET_70013,TXN_10013,ACC_106,13059.5,INR,credited,2026-08-03T00:07:00,2026-08-03T02:02:00,00,SUCCESS
BTX_70014,HDFC205907,SET_70014,TXN_10014,ACC_109,14566.64,INR,credited,2026-08-03T03:59:00,2026-08-03T05:54:00,00,SUCCESS
BTX_70015,ICICI270555,SET_70015,TXN_10015,ACC_112,10768.57,INR,credited,2026-08-03T06:45:00,2026-08-03T08:40:00,00,SUCCESS
BTX_70016,ICICI835911,SET_70016,TXN_10016,ACC_111,11183.68,INR,credited,2026-08-03T09:47:00,2026-08-03T11:42:00,00,SUCCESS
BTX_70017,HDFC660086,SET_70017,TXN_10017,ACC_120,9659.25,INR,credited,2026-08-03T12:45:00,2026-08-03T14:40:00,00,SUCCESS
BTX_70018,ICICI771088,SET_70018,TXN_10018,ACC_107,10153.31,INR,credited,2026-08-03T15:29:00,2026-08-03T17:24:00,00,SUCCESS
BTX_70019,AXIS340174,SET_70019,TXN_10019,ACC_117,10455.17,INR,credited,2026-08-03T18:25:00,2026-08-03T20:20:00,00,SUCCESS
BTX_70020,ICICI169403,SET_70020,TXN_10020,ACC_101,13599.05,INR,credited,2026-08-03T21:30:00,2026-08-03T23:25:00,00,SUCCESS
BTX_70021,ICICI322955,SET_70021,TXN_10021,ACC_106,14179.53,INR,pending,2026-08-04T00:41:00,,00,SUCCESS
BTX_70022,SBI249811,SET_70022,TXN_10022,ACC_120,11956.76,INR,pending,2026-08-04T04:01:00,,00,SUCCESS
BTX_70023,KOTAK665158,SET_70023,TXN_10023,ACC_108,10025.65,INR,pending,2026-08-04T06:52:00,,00,SUCCESS
BTX_70024,KOTAK518801,SET_70024,TXN_10024,ACC_108,13287.42,INR,pending,2026-08-04T09:32:00,,00,SUCCESS
BTX_70025,KOTAK617488,SET_70025,TXN_10025,ACC_111,10453.59,INR,pending,2026-08-04T12:13:00,,00,SUCCESS
BTX_70026,AXIS260265,SET_70026,TXN_10026,ACC_102,13334.49,INR,pending,2026-08-04T16:00:00,,00,SUCCESS
BTX_70027,SBI725380,SET_70027,TXN_10027,ACC_120,10134.93,INR,pending,2026-08-04T18:48:00,,00,SUCCESS
BTX_70028,SBI654816,SET_70028,TXN_10028,ACC_102,11342.08,INR,pending,2026-08-04T21:43:00,,00,SUCCESS
BTX_70029,AXIS813328,SET_70029,TXN_10029,ACC_108,14490.68,INR,rejected,2026-08-05T01:00:00,,R01,INVALID_ACCOUNT
BTX_70030,ICICI216970,SET_70030,TXN_10030,ACC_117,13308.16,INR,rejected,2026-08-05T03:54:00,,R01,IFSC_MISMATCH
BTX_70031,ICICI624902,SET_70031,TXN_10031,ACC_113,10125.14,INR,rejected,2026-08-05T06:05:00,,R01,ACCOUNT_CLOSED
BTX_70032,ICICI982554,SET_70032,TXN_10032,ACC_116,14176.79,INR,rejected,2026-08-05T10:00:00,,R01,ACCOUNT_CLOSED
BTX_70041,HDFC717024,SET_70041,TXN_10041,ACC_110,4479.15,INR,partial,2026-08-06T12:40:00,2026-08-06T14:35:00,00,SUCCESS
