transaction_id,merchant_id,gateway_payment_id,order_id,amount,currency,payment_status,captured_at,settlement_id,settlement_status,settlement_amount,fees,tax,utr,settlement_created_at,failure_code,failure_reason,scenario_tag
TXN_10001,MERCH_120,PAY_10001,ORDER_10001,10112.32,INR,processed,2026-08-01T12:47:00,SET_70001,processed,9873.66,202.25,36.41,ICICI356787,2026-08-01T12:49:00,,,SUCCESS
TXN_10002,MERCH_107,PAY_10002,ORDER_10002,10267.46,INR,processed,2026-08-01T15:06:00,SET_70002,processed,10025.15,205.35,36.96,KOTAK191161,2026-08-01T15:08:00,,,SUCCESS
TXN_10003,MERCH_118,PAY_10003,ORDER_10003,11820.57,INR,processed,2026-08-01T18:01:00,SET_70003,processed,11541.61,236.41,42.55,AXIS329258,2026-08-01T18:03:00,,,SUCCESS
TXN_10004,MERCH_107,PAY_10004,ORDER_10004,12279.45,INR,processed,2026-08-01T21:01:00,SET_70004,processed,11989.65,245.59,44.21,KOTAK308496,2026-08-01T21:03:00,,,SUCCESS
TXN_10005,MERCH_120,PAY_10005,ORDER_10005,13357.29,INR,processed,2026-08-02T00:26:00,SET_70005,processed,13042.05,267.15,48.09,HDFC571029,2026-08-02T00:28:00,,,SUCCESS
TXN_10006,MERCH_118,PAY_10006,ORDER_10006,11030.05,INR,processed,2026-08-02T03:55:00,SET_70006,processed,10769.74,220.6,39.71,AXIS895667,2026-08-02T03:57:00,,,SUCCESS
TXN_10007,MERCH_105,PAY_10007,ORDER_10007,13339.77,INR,processed,2026-08-02T06:21:00,SET_70007,processed,13024.95,266.8,48.02,ICICI263032,2026-08-02T06:23:00,,,SUCCESS
TXN_10008,MERCH_106,PAY_10008,ORDER_10008,14764.67,INR,processed,2026-08-02T09:21:00,SET_70008,processed,14416.23,295.29,53.15,AXIS197251,2026-08-02T09:23:00,,,SUCCESS
TXN_10009,MERCH_112,PAY_10009,ORDER_10009,10031.94,INR,processed,2026-08-02T12:54:00,SET_70009,processed,9795.18,200.64,36.12,ICICI733052,2026-08-02T12:56:00,,,SUCCESS
TXN_10010,MERCH_108,PAY_10010,ORDER_10010,13939.21,INR,processed,2026-08-02T15:46:00,SET_70010,processed,13610.25,278.78,50.18,SBI662275,2026-08-02T15:48:00,,,SUCCESS
TXN_10011,MERCH_103,PAY_10011,ORDER_10011,14852.14,INR,processed,2026-08-02T18:24:00,SET_70011,processed,14501.63,297.04,53.47,AXIS678856,2026-08-02T18:26:00,,,SUCCESS
TXN_10012,MERCH_109,PAY_10012,ORDER_10012,14061.73,INR,processed,2026-08-02T21:39:00,SET_70012,processed,13729.88,281.23,50.62,ICICI705397,2026-08-02T21:41:00,,,SUCCESS
TXN_10013,MERCH_106,PAY_10013,ORDER_10013,13375.15,INR,processed,2026-08-03T00:02:00,SET_70013,processed,13059.5,267.5,48.15,HDFC910620,2026-08-03T00:04:00,,,SUCCESS
TXN_10014,MERCH_109,PAY_10014,ORDER_10014,14918.72,INR,processed,2026-08-03T03:54:00,SET_70014,processed,14566.64,298.37,53.71,HDFC205907,2026-08-03T03:56:00,,,SUCCESS
TXN_10015,MERCH_112,PAY_10015,ORDER_10015,11028.85,INR,processed,2026-08-03T06:40:00,SET_70015,processed,10768.57,220.58,39.7,ICICI270555,2026-08-03T06:42:00,,,SUCCESS
TXN_10016,MERCH_111,PAY_10016,ORDER_10016,11453.99,INR,processed,2026-08-03T09:42:00,SET_70016,processed,11183.68,229.08,41.23,ICICI835911,2026-08-03T09:44:00,,,SUCCESS
TXN_10017,MERCH_120,PAY_10017,ORDER_10017,9892.71,INR,processed,2026-08-03T12:40:00,SET_70017,processed,9659.25,197.85,35.61,HDFC660086,2026-08-03T12:42:00,,,SUCCESS
TXN_10018,MERCH_107,PAY_10018,ORDER_10018,10398.71,INR,processed,2026-08-03T15:24:00,SET_70018,processed,10153.31,207.97,37.43,ICICI771088,2026-08-03T15:26:00,,,SUCCESS
TXN_10019,MERCH_117,PAY_10019,ORDER_10019,10707.88,INR,processed,2026-08-03T18:20:00,SET_70019,processed,10455.17,214.16,38.55,AXIS340174,2026-08-03T18:22:00,,,SUCCESS
TXN_10020,MERCH_101,PAY_10020,ORDER_10020,13927.75,INR,processed,2026-08-03T21:25:00,SET_70020,processed,13599.05,278.56,50.14,ICICI169403,2026-08-03T21:27:00,,,SUCCESS
TXN_10021,MERCH_106,PAY_10021,ORDER_10021,14522.25,INR,processed,2026-08-04T00:36:00,SET_70021,processed,14179.53,290.44,52.28,ICICI322955,2026-08-04T00:38:00,,,BANK_POSTING_DELAY
TXN_10022,MERCH_120,PAY_10022,ORDER_10022,12245.77,INR,processed,2026-08-04T03:56:00,SET_70022,processed,11956.76,244.92,44.09,SBI249811,2026-08-04T03:58:00,,,BANK_POSTING_DELAY
TXN_10023,MERCH_108,PAY_10023,ORDER_10023,10267.97,INR,processed,2026-08-04T06:47:00,SET_70023,processed,10025.65,205.36,36.96,KOTAK665158,2026-08-04T06:49:00,,,BANK_POSTING_DELAY
TXN_10024,MERCH_108,PAY_10024,ORDER_10024,13608.58,INR,processed,2026-08-04T09:27:00,SET_70024,processed,13287.42,272.17,48.99,KOTAK518801,2026-08-04T09:29:00,,,BANK_POSTING_DELAY
TXN_10025,MERCH_111,PAY_10025,ORDER_10025,10706.26,INR,processed,2026-08-04T12:08:00,SET_70025,processed,10453.59,214.13,38.54,KOTAK617488,2026-08-04T12:10:00,,,BANK_POSTING_DELAY
TXN_10026,MERCH_102,PAY_10026,ORDER_10026,13656.8,INR,processed,2026-08-04T15:55:00,SET_70026,processed,13334.49,273.14,49.17,AXIS260265,2026-08-04T15:57:00,,,BANK_POSTING_DELAY
TXN_10027,MERCH_120,PAY_10027,ORDER_10027,10379.9,INR,processed,2026-08-04T18:43:00,SET_70027,processed,10134.93,207.6,37.37,SBI725380,2026-08-04T18:45:00,,,BANK_POSTING_DELAY
TXN_10028,MERCH_102,PAY_10028,ORDER_10028,11616.22,INR,processed,2026-08-04T21:38:00,SET_70028,processed,11342.08,232.32,41.82,SBI654816,2026-08-04T21:40:00,,,BANK_POSTING_DELAY
TXN_10029,MERCH_108,PAY_10029,ORDER_10029,14840.93,INR,processed,2026-08-05T00:55:00,SET_70029,processed,14490.68,296.82,53.43,AXIS813328,2026-08-05T00:57:00,,,BANK_REJECTION
TXN_10030,MERCH_117,PAY_10030,ORDER_10030,13629.83,INR,processed,2026-08-05T03:49:00,SET_70030,processed,13308.16,272.6,49.07,ICICI216970,2026-08-05T03:51:00,,,BANK_REJECTION
TXN_10031,MERCH_113,PAY_10031,ORDER_10031,10369.87,INR,processed,2026-08-05T06:00:00,SET_70031,processed,10125.14,207.4,37.33,ICICI624902,2026-08-05T06:02:00,,,BANK_REJECTION
TXN_10032,MERCH_116,PAY_10032,ORDER_10032,14519.45,INR,processed,2026-08-05T09:55:00,SET_70032,processed,14176.79,290.39,52.27,ICICI982554,2026-08-05T09:57:00,,,BANK_REJECTION
TXN_10033,MERCH_104,PAY_10033,ORDER_10033,11556.53,INR,failed,2026-08-05T12:10:00,,not_initiated,,,,,,GTW_ERR,INSUFFICIENT_FUNDS,GATEWAY_FAILURE
TXN_10034,MERCH_119,PAY_10034,ORDER_10034,11282.86,INR,failed,2026-08-05T15:01:00,,not_initiated,,,,,,GTW_ERR,BANK_TIMEOUT,GATEWAY_FAILURE
TXN_10035,MERCH_107,PAY_10035,ORDER_10035,9818.59,INR,failed,2026-08-05T18:56:00,,not_initiated,,,,,,GTW_ERR,INSUFFICIENT_FUNDS,GATEWAY_FAILURE
