ledger_entry_id,transaction_id,settlement_id,merchant_id,debit,credit,net_amount,currency,ledger_status,posted_at,reference
LDG_70001,TXN_10001,SET_70001,MERCH_120,0,9873.66,9873.66,INR,posted,2026-08-01T14:57:00,SET_70001
LDG_70002,TXN_10002,SET_70002,MERCH_107,0,10025.15,10025.15,INR,posted,2026-08-01T17:16:00,SET_70002
LDG_70003,TXN_10003,SET_70003,MERCH_118,0,11541.61,11541.61,INR,posted,2026-08-01T20:11:00,SET_70003
LDG_70004,TXN_10004,SET_70004,MERCH_107,0,11989.65,11989.65,INR,posted,2026-08-01T23:11:00,SET_70004
LDG_70005,TXN_10005,SET_70005,MERCH_120,0,13042.05,13042.05,INR,posted,2026-08-02T02:36:00,SET_70005
LDG_70006,TXN_10006,SET_70006,MERCH_118,0,10769.74,10769.74,INR,posted,2026-08-02T06:05:00,SET_70006
LDG_70007,TXN_10007,SET_70007,MERCH_105,0,13024.95,13024.95,INR,posted,2026-08-02T08:31:00,SET_70007
LDG_70008,TXN_10008,SET_70008,MERCH_106,0,14416.23,14416.23,INR,posted,2026-08-02T11:31:00,SET_70008
LDG_70009,TXN_10009,SET_70009,MERCH_112,0,9795.18,9795.18,INR,posted,2026-08-02T15:04:00,SET_70009
LDG_70010,TXN_10010,SET_70010,MERCH_108,0,13610.25,13610.25,INR,posted,2026-08-02T17:56:00,SET_70010
LDG_70011,TXN_10011,SET_70011,MERCH_103,0,14501.63,14501.63,INR,posted,2026-08-02T20:34:00,SET_70011
LDG_70012,TXN_10012,SET_70012,MERCH_109,0,13729.88,13729.88,INR,posted,2026-08-02T23:49:00,SET_70012
LDG_70013,TXN_10013,SET_70013,MERCH_106,0,13059.5,13059.5,INR,posted,2026-08-03T02:12:00,SET_70013
LDG_70014,TXN_10014,SET_70014,MERCH_109,0,14566.64,14566.64,INR,posted,2026-08-03T06:04:00,SET_70014
LDG_70015,TXN_10015,SET_70015,MERCH_112,0,10768.57,10768.57,INR,posted,2026-08-03T08:50:00,SET_70015
LDG_70016,TXN_10016,SET_70016,MERCH_111,0,11183.68,11183.68,INR,posted,2026-08-03T11:52:00,SET_70016
